Incident_ID,Incident_date,State_name,City_or_County,Address,Number_Killed,Number_Injured,Operations
274849,31-Dec-14,Missouri,Springfield,N/A,0,1,N/A
271885,31-Dec-14,Maryland,Baltimore,4700 block of Shamrock Avenue,0,1,N/A
271883,31-Dec-14,Maryland,Baltimore,5600 block of Harford Road,0,1,N/A
271878,31-Dec-14,Illinois,Chicago,8600 block of South Racine,0,1,N/A
272404,31-Dec-14,Michigan,Ypsilanti,900 block of N. Congress Stree,0,0,N/A
271875,31-Dec-14,Maryland,Capitol Heights,800 block of Balsamtree Drive,1,0,N/A
274821,31-Dec-14,Missouri,Kansas City,4200 block of Woodland Avenue,1,0,N/A
271873,31-Dec-14,Florida,Orlando,200 block of Garden Cove Ct,0,1,N/A
271892,31-Dec-14,Florida,Miami,69th Street and 6th Court,1,0,N/A
271866,31-Dec-14,Maryland,Dundalk,200 block of Baltimore Avenue,0,0,N/A
272130,31-Dec-14,Mississippi,Nettleton,N/A,1,0,N/A
273677,31-Dec-14,New Jersey,Lebanon,900 block of Guilford Street,0,0,N/A
272942,31-Dec-14,Colorado,Denver,East Fifth Avenue and Alton Way,1,0,N/A
272383,31-Dec-14,Ohio,Elyria,800 block of Allen Street,0,0,N/A
273664,31-Dec-14,New Jersey,Jersey City,Bramhall Avenue,0,0,N/A
272863,31-Dec-14,Maryland,Capitol Heights (Fairmount Heights),800 block of Balsamtree Dr,1,0,N/A
271836,31-Dec-14,Tennessee,Chattanooga,Arlington Avenue,0,0,N/A
271829,31-Dec-14,Florida,Lauderhill,3135 West Broward Boulevard,0,2,N/A
272974,31-Dec-14,Wyoming,Evansville,700 block of Rawhide Rd,0,0,N/A
297572,31-Dec-14,Massachusetts,Waltham,Clocktower Drive,0,0,N/A
276691,31-Dec-14,Texas,San Antonio,7999 Potranco Road,0,0,N/A
272315,31-Dec-14,Texas,Dallas,4000 block of Penelope St.,0,1,N/A
273263,31-Dec-14,California,Stockton,2300 block of East Lindsay Street,0,0,N/A
272444,31-Dec-14,Kansas,Overland Park,8300 block of Kessler,1,0,N/A
272232,31-Dec-14,Rhode Island,Warwick,Route 2 and East Avenue,0,0,N/A
