,Incident ID,Incident Date,year,State,City Or County,Address,Killed,Injured,Operations
1,1506655,September 18,2019,Indiana,Fort Wayne,4000 block of Reed St,0,3,"View Incident
View Source"
2,1506387,September 18,2019,Pennsylvania,Pittsburgh,Cordell Pl,0,1,"View Incident
View Source"
3,1506592,September 18,2019,Alabama,Scottsboro,102 E Laurel St,0,1,"View Incident
View Source"
4,1506556,September 18,2019,Texas,San Antonio,La Barca Dr,0,1,"View Incident
View Source"
5,1506539,September 18,2019,Michigan,Marshall,I-94,0,0,"View Incident
View Source"
6,1506412,September 18,2019,Maryland,Pasadena,1400 block of Orr Ct,1,0,"View Incident
View Source"
7,1506460,September 18,2019,Georgia,Snellville,Stone Mountain Hwy and Easy St,0,0,"View Incident
View Source"
8,1506454,September 18,2019,Florida,Sarasota,1200 block of Cornish Ct,1,0,"View Incident
View Source"
9,1506446,September 18,2019,Florida,Bradenton,3500 block of 39th St E,0,1,"View Incident
View Source"
10,1506430,September 18,2019,Florida,Lawtey,Co Rd 200A,0,1,"View Incident
View Source"
11,1506424,September 18,2019,Maryland,Baltimore,3400 block of Piedmont Ave,1,0,"View Incident
View Source"
12,1506407,September 18,2019,Florida,Boynton Beach,2300 Block of NW 17th Ave,0,2,"View Incident
View Source"
13,1506396,September 18,2019,District of Columbia,Washington,1500 block of Morris Rd SE,0,0,"View Incident
View Source"
14,1506384,September 18,2019,Pennsylvania,Philadelphia,400 block of Van Kirk St,1,0,"View Incident
View Source"
15,1506379,September 18,2019,New Jersey,Elizabeth,1037 Bond St,0,0,"View Incident
View Source"
16,1505550,September 17,2019,New York,Staten Island,20 Prince St,1,1,"View Incident
View Source"
17,1506299,September 17,2019,New York,Corona (Queens),59th St and Woodside Ave,0,1,"View Incident
View Source"
18,1506290,September 17,2019,New York,Syracuse,W Brighton Ave,0,1,"View Incident
View Source"
19,1506288,September 17,2019,Illinois,Quincy,1300 block of N 4th St,0,0,"View Incident
View Source"
20,1505511,September 17,2019,New York,Troy,111th St and Fourth Ave,1,0,"View Incident
View Source"
21,1506224,September 17,2019,Michigan,Detroit,6300 block of Memorial St,1,1,"View Incident
View Source"
22,1506241,September 17,2019,Michigan,Jackson,200 block of Third St,1,0,"View Incident
View Source"
23,1506234,September 17,2019,Tennessee,Nashville,904 26th Ave N,0,0,"View Incident
View Source"
24,1506232,September 17,2019,Michigan,Muskegon,Peck St and Irwin Ave,0,0,"View Incident
View Source"
25,1506227,September 17,2019,California,Tracy,Peony Dr and Windsong Dr,0,0,"View Incident
View Source"
27,1506221,September 17,2019,Kentucky,Louisville,32nd St and River Park Dr,0,2,"View Incident
View Source"
28,1506169,September 17,2019,California,Delano,10200 Casey Ave,1,0,"View Incident
View Source"
29,1506136,September 17,2019,Florida,Orlando,10400 Block of Kingbrook Ln,1,0,"View Incident
View Source"
30,1506128,September 17,2019,Maine,Rumford,97 Maine Avenue,0,1,"View Incident
View Source"
31,1506124,September 17,2019,Iowa,Davenport,6300 blocks of Appomattox Rd,0,0,"View Incident
View Source"
32,1506120,September 17,2019,Maryland,Baltimore,5400 block of Belair Rd,0,1,"View Incident
View Source"
33,1506023,September 17,2019,Virginia,Richmond,2900 block of Huntwick Ct,1,0,"View Incident
View Source"
34,1506054,September 17,2019,Florida,Milton,5988 US 90,1,0,"View Incident
View Source"
35,1506039,September 17,2019,Virginia,Richmond,2100 block of Accommodation St,0,2,"View Incident
View Source"
36,1506032,September 17,2019,Arizona,Phoenix,3402 W Campbell Ave,0,1,"View Incident
View Source"
37,1505998,September 17,2019,Tennessee,Memphis,Park Ave and Prescott Rd,0,0,"View Incident
View Source"
38,1505978,September 17,2019,Kansas,Topeka,341 SE Lawrence St,0,3,"View Incident
View Source"
39,1505974,September 17,2019,Iowa,Waterloo,W 6th St and Allen St,0,0,"View Incident
View Source"
40,1505964,September 17,2019,Tennessee,Memphis,3800 block of Maid Marian Ln,1,0,"View Incident
View Source"
41,1505942,September 17,2019,Georgia,Winder,985 Austin Rd,0,0,"View Incident
View Source"
42,1505939,September 17,2019,Colorado,Denver,Lackland Pl and Altura St,1,0,"View Incident
View Source"
43,1506669,September 17,2019,California,Willowbrook,12100 block of Wilmington Ave,1,0,"View Incident
View Source"
44,1505919,September 17,2019,District of Columbia,Washington,3900 block of Pennsylvania Avenue SE,0,1,"View Incident
View Source"
45,1505907,September 17,2019,Indiana,Hammond,7000 block of Lindberg Ave,1,0,"View Incident
View Source"
46,1505905,September 17,2019,South Carolina,Newberry,2000 block of Drayton St,1,0,"View Incident
View Source"
47,1505895,September 17,2019,Colorado,Colorado Springs,N Prospect St and E Boulder St,0,0,"View Incident
View Source"
48,1505851,September 17,2019,North Carolina,Greensboro,1700 block of Grove St,0,2,"View Incident
View Source"
49,1506617,September 17,2019,Pennsylvania,Erie,1800 block of German St,0,1,"View Incident
View Source"
50,1506609,September 17,2019,Pennsylvania,Erie,1800 block of Chestnut St,0,2,"View Incident
View Source"
51,1506613,September 17,2019,Illinois,Rockford,S 6th St and E State St,0,2,"View Incident
View Source"
53,1506382,September 17,2019,Pennsylvania,Philadelphia,5400 block of Stewart St,1,0,"View Incident
View Source"
54,1505801,September 17,2019,New Jersey,Newark,344 Hawthorne Ave,0,0,"View Incident
View Source"
55,1506589,September 17,2019,Arizona,Tucson,E Avenida Selva del Ocote and S Calle Joya de Ventura,1,0,"View Incident
View Source"
56,1505797,September 17,2019,New Jersey,Newark,14th Ave and S 16th St,0,1,"View Incident
View Source"
57,1505795,September 17,2019,New Jersey,Newark,200 block of West End Ave,0,1,"View Incident
View Source"
58,1506586,September 17,2019,Arkansas,Little Rock,5300 Baseline Rd,0,0,"View Incident
View Source"
59,1505760,September 17,2019,Oklahoma,Tulsa,E 21st St and I-44,0,0,"View Incident
View Source"
60,1506575,September 17,2019,New York,Bronx,3071 Park Ave,0,1,"View Incident
View Source"
61,1506553,September 17,2019,Wisconsin,Reeseville,Mud Lake Rd,1,0,"View Incident
View Source"
62,1506551,September 17,2019,North Carolina,Raleigh,Garner Rd and Martin Luther King Jr Blvd,0,1,"View Incident
View Source"
