,Incident ID,Incident Date,year,State,City Or County,Address,Killed,Injured,Operations
1,480589,December 31,2015,New York,New York (Manhattan),Sherman Street,0,1,"View Incident
View Source"
2,476987,December 31,2015,North Carolina,Durham,433 Pilot Street,0,2,"View Incident
View Source"
3,476984,December 31,2015,Missouri,Kansas City,E. 37th Street and Blue Ridge Cutoff,0,0,"View Incident
View Source"
4,476351,December 31,2015,Massachusetts,New Bedford,Pleasant Street,1,0,"View Incident
View Source"
5,476966,December 31,2015,North Carolina,Charlotte,Westpark Drive,0,2,"View Incident
View Source"
6,476499,December 31,2015,Tennessee,Chattanooga,2700 block 6th Avenue,0,1,"View Incident
View Source"
7,483306,December 31,2015,Missouri,Kansas City,3000 block of Woodland Avenue,0,1,"View Incident
View Source"
8,484916,December 31,2015,Kansas,Salina,400 block of S. 12th Street,0,0,"View Incident
View Source"
9,484914,December 31,2015,Kansas,Salina,University Place and Phillips Street,0,0,"View Incident
View Source"
10,477545,December 31,2015,North Carolina,Pasquotank (county),Sawyer Road,1,0,"View Incident
View Source"
11,476299,December 31,2015,Pennsylvania,Philadelphia,4400 block of North 7th Street,0,2,"View Incident
View Source"
12,478675,December 31,2015,California,Modesto,N/A,0,0,"View Incident
View Source"
13,476809,December 31,2015,Washington,Woodland,143 Whalen Road,1,0,"View Incident
View Source"
14,476886,December 31,2015,Iowa,Des Moines,1300 block of E. 14th Street,0,1,"View Incident
View Source"
15,476880,December 31,2015,Florida,Bradenton,500 block of 13th Avenue West,0,0,"View Incident
View Source"
16,476872,December 31,2015,Indiana,Merrillville,5500 block of Hayes Street,0,3,"View Incident
View Source"
17,478620,December 31,2015,Louisiana,New Orleans,N/A,0,0,"View Incident
View Source"
18,477490,December 31,2015,North Carolina,Gaston (county),Highland Street,0,1,"View Incident
View Source"
19,476265,December 31,2015,Texas,Arlington,1300 S. Bowen Road,0,1,"View Incident
View Source"
20,476148,December 31,2015,Tennessee,Madison,1700 block of Cumberland Station Boulevard,0,1,"View Incident
View Source"
21,476256,December 31,2015,Maryland,Oakland,Garrett Highway,0,0,"View Incident
View Source"
22,481799,December 31,2015,Texas,Montgomery (county),Kendal Ridge Lane and Clear Oaks Lane,0,0,"View Incident
View Source"
23,476509,December 31,2015,Illinois,Chicago (Englewood),7200 block of South Aberdeen Street,0,1,"View Incident
View Source"
24,476760,December 31,2015,Maryland,Halethorpe (Lansdowne),400 block of Fourth Ave,0,1,"View Incident
View Source"
25,477473,December 31,2015,Ohio,Cleveland,3800 block of East 144th Street,0,0,"View Incident
View Source"
27,476040,December 31,2015,Pennsylvania,Philadelphia,7100 block of Erdrick St,0,1,"View Incident
View Source"
28,476814,December 31,2015,Florida,Palm Beach,Pipers Clay Drive,0,1,"View Incident
View Source"
29,476807,December 31,2015,California,San Francisco,Fillmore and Turk,0,1,"View Incident
View Source"
30,476804,December 31,2015,Colorado,Colorado Springs,E. Platte and Iowa Avenue,0,0,"View Incident
View Source"
31,477973,December 31,2015,Illinois,Peoria,2503 N. Sheridan Road,0,0,"View Incident
View Source"
32,476800,December 31,2015,Maryland,Frederick,Waverly Drive,0,0,"View Incident
View Source"
33,526872,December 31,2015,Maine,Norridgewock,Madison Road,0,0,"View Incident
View Source"
34,480126,December 31,2015,Colorado,Pueblo,2600 block of Sitter Avenue,0,0,"View Incident
View Source"
35,478561,December 31,2015,New Hampshire,Nashua,29 Wason Avenue,0,0,"View Incident
View Source"
36,480121,December 31,2015,Colorado,Pueblo,Sprague and Acero Avenue,0,0,"View Incident
View Source"
37,476623,December 31,2015,New York,Brooklyn,680 block of Willoughby Avenue,0,2,"View Incident
View Source"
38,476234,December 31,2015,Maryland,Silver Spring,New Hampshire Avenue,0,0,"View Incident
View Source"
39,477966,December 31,2015,Illinois,East Saint Louis,1607 Wilfred Ave,1,0,"View Incident
View Source"
40,477437,December 31,2015,Wyoming,Laramie (county),6100 block of Laramie Street,0,0,"View Incident
View Source"
41,476225,December 31,2015,Virginia,Richmond,Hull Street Rd. and Greystone Ave.,0,1,"View Incident
View Source"
42,476763,December 31,2015,Pennsylvania,Philadelphia,300 block of South 16th Street,0,0,"View Incident
View Source"
43,479321,December 31,2015,Colorado,Colorado Springs,N/A,0,0,"View Incident
View Source"
44,478534,December 31,2015,Maine,Skowhegan,41 Madison Avenue,0,0,"View Incident
View Source"
45,477422,December 31,2015,Kansas,Topeka,S.E. 3rd and Lawrence,0,1,"View Incident
View Source"
46,477420,December 31,2015,Kansas,Topeka,S.W. 5th and S.W. Western,0,1,"View Incident
View Source"
47,477953,December 31,2015,Illinois,Kankakee,1300 block of East Chestnut Street,0,0,"View Incident
View Source"
48,476735,December 31,2015,Georgia,Columbus,500 block of Farr Road,0,2,"View Incident
View Source"
49,482583,December 31,2015,Georgia,Commerce,Mitchell Road,0,0,"View Incident
View Source"
50,499227,December 31,2015,Tennessee,Washington (county),388 Oak Grove Road,0,0,"View Incident
View Source"
51,476195,December 31,2015,District of Columbia,Washington,3000 Stanton Road SE,0,1,"View Incident
View Source"
53,476725,December 31,2015,Maryland,Baltimore,5000 block of York Road,0,0,"View Incident
View Source"
54,482569,December 31,2015,Georgia,Colbert,Southwinds Drive,0,0,"View Incident
View Source"
55,476473,December 31,2015,California,Compton,15600 block of South Washington Avenue,1,0,"View Incident
View Source"
56,479277,December 31,2015,Rhode Island,Providence,298 Pocasset Avenue,0,1,"View Incident
View Source"
57,477400,December 31,2015,Colorado,Denver,24th and Larimer Street,0,1,"View Incident
View Source"
58,480929,December 31,2015,District of Columbia,Washington,I Street SE,0,0,"View Incident
View Source"
59,476698,December 31,2015,California,Merced,500 block of T Street,0,0,"View Incident
View Source"
60,476696,December 31,2015,Georgia,Atlanta,Cone and Walton,0,1,"View Incident
View Source"
61,476686,December 31,2015,California,Salinas,300 block of Cross Avenue,0,1,"View Incident
View Source"
62,476679,December 31,2015,California,Seaside,Kalborn Road,0,1,"View Incident
View Source"
63,476507,December 31,2015,Virginia,Richmond,00 block of North Thompson Street,0,1,"View Incident
View Source"
64,553464,December 31,2015,Florida,Pensacola,N/A,0,1,"View Incident
View Source"
65,476174,December 31,2015,New York,Buffalo,100 block of Wilkes Avenue,0,1,"View Incident
View Source"
66,482541,December 31,2015,North Dakota,Bismarck,200 block of Riverside Park Road,0,0,"View Incident
View Source"
67,476492,December 31,2015,New Jersey,Newark,Camden St and 13th Ave,1,0,"View Incident
View Source"
68,476636,December 31,2015,California,San Bernardino,1300 block of West Belleview Street,0,0,"View Incident
View Source"
69,476634,December 31,2015,California,San Bernardino,1200 block of West King Street,0,0,"View Incident
View Source"
70,476578,December 31,2015,Florida,Saint Petersburg,1110 32nd Street,0,1,"View Incident
View Source"
71,479216,December 31,2015,Georgia,Winterville,1200 block of Athens Road,0,1,"View Incident
View Source"
72,476476,December 31,2015,Florida,Daytona Beach,971 West International Speedway Boulevard,0,2,"View Incident
View Source"
73,506095,December 31,2015,Illinois,Troy,N/A,0,0,"View Incident
View Source"
74,476119,December 31,2015,Alaska,Fairbanks,N/A,0,0,"View Incident
View Source"
75,477916,December 31,2015,Ohio,Cleveland,3300 block of Fulton Road,0,1,"View Incident
View Source"
76,477332,December 31,2015,Louisiana,New Orleans,3400 block of Mistletoe Street,0,0,"View Incident
View Source"
77,476445,December 31,2015,Ohio,Zanesville,768 Pine Street,0,1,"View Incident
View Source"
79,476740,December 31,2015,South Carolina,Gaffney,N/A,1,0,"View Incident
View Source"
80,476619,December 31,2015,New York,Rochester,Hoff Street,0,1,"View Incident
View Source"
81,477311,December 31,2015,California,Santa Ana,1000 block of South Sullivan Street,0,1,"View Incident
View Source"
82,478425,December 31,2015,California,Wasco,1000 block of 16th Street,1,0,"View Incident
View Source"
83,476778,December 31,2015,Maryland,Greensboro,MD-313,0,0,"View Incident
View Source"
84,476607,December 31,2015,New York,Malverne,Southern State Parkway,0,1,"View Incident
View Source"
85,479912,December 31,2015,Georgia,Statesboro,1699 Statesboro Place Circle,0,0,"View Incident
View Source"
86,476083,December 31,2015,Mississippi,Rolling Fork,68 Frontage Road,1,0,"View Incident
View Source"
87,477266,December 31,2015,Georgia,Brunswick,500 block of P Street,0,0,"View Incident
View Source"
88,477262,December 31,2015,Pennsylvania,Darby (Collingdale),Macdade Blvd and Staley Ave,0,1,"View Incident
View Source"
89,476023,December 31,2015,Pennsylvania,Philadelphia,3100 block of North 25th Street,1,0,"View Incident
View Source"
90,479132,December 31,2015,Alabama,Selma,N/A,0,1,"View Incident
View Source"
91,476183,December 31,2015,West Virginia,Charleston,935 Central Avenue,1,0,"View Incident
View Source"
92,479130,December 31,2015,Alabama,Selma,1600 block of Maple Street,1,0,"View Incident
View Source"
93,476542,December 31,2015,California,Oakland,6500 block of Foothill Boulevard,0,2,"View Incident
View Source"
