,Unnamed: 0,Incident ID,Incident Date,year,State,City Or County,Address,Killed,Injured,Operations
0,1,480589,December 31,2015,New York,New York (Manhattan),Sherman Street,0,1,"View Incident
View Source"
0,1,1506655,September 18,2019,Indiana,Fort Wayne,4000 block of Reed St,0,3,"View Incident
View Source"
0,1,739539,December 31,2016,Virginia,Newport News,Vernon Place,0,1,"View Incident
View Source"
0,1,1290435,December 31,2018,Nebraska,Omaha,2500 block of Emmet St,0,0,"View Incident
View Source"
0,1,1021362,December 31,2017,Texas,Kilgore,1910 Meadowgreen Dr,1,0,"View Incident
View Source"
1,2,1506387,September 18,2019,Pennsylvania,Pittsburgh,Cordell Pl,0,1,"View Incident
View Source"
1,2,1291253,December 31,2018,West Virginia,Worthington,Michael Hill Rd,0,0,"View Incident
View Source"
1,2,1017727,December 31,2017,Tennessee,Nashville,I 65 and Trinity Lane,1,1,"View Incident
View Source"
1,2,739764,December 31,2016,Tennessee,Knoxville,Highland View Drive,1,0,"View Incident
View Source"
1,2,476987,December 31,2015,North Carolina,Durham,433 Pilot Street,0,2,"View Incident
View Source"
2,3,1289028,December 31,2018,Oklahoma,Oklahoma City,N Rockwell Ave and W Wilshire Blvd,0,1,"View Incident
View Source"
2,3,476984,December 31,2015,Missouri,Kansas City,E. 37th Street and Blue Ridge Cutoff,0,0,"View Incident
View Source"
2,3,1506592,September 18,2019,Alabama,Scottsboro,102 E Laurel St,0,1,"View Incident
View Source"
2,3,738899,December 31,2016,Florida,Pensacola,3 Talladega Trail,1,1,"View Incident
View Source"
2,3,1018010,December 31,2017,Alabama,Huntsville,1409 Lancewood Dr NW,0,1,"View Incident
View Source"
3,4,1506556,September 18,2019,Texas,San Antonio,La Barca Dr,0,1,"View Incident
View Source"
3,4,741817,December 31,2016,Pennsylvania,Lancaster,100 block of Chesapeake St,0,0,"View Incident
View Source"
3,4,1023659,December 31,2017,North Carolina,Elizabethtown,968 Jacobs Loop Rd,0,1,"View Incident
View Source"
3,4,1290413,December 31,2018,Nevada,Las Vegas,N E St and Jefferson Ave,0,1,"View Incident
View Source"
3,4,476351,December 31,2015,Massachusetts,New Bedford,Pleasant Street,1,0,"View Incident
View Source"
4,5,1290400,December 31,2018,Vermont,Burlington,N Champlain St and Manhattan Dr,0,0,"View Incident
View Source"
4,5,1506539,September 18,2019,Michigan,Marshall,I-94,0,0,"View Incident
View Source"
4,5,476966,December 31,2015,North Carolina,Charlotte,Westpark Drive,0,2,"View Incident
View Source"
4,5,1020322,December 31,2017,Illinois,Urbana,1365 N Lincoln Ave,0,1,"View Incident
View Source"
